month,year,country,economy_index_2015,unemployment_rate,inflation_index,total_pop_thousands,conexiones_moviles,numero_transacciones_digitales_millions,monto_transacciones_millions
12,2013,Colombia,95.5,9.2,65.1,44318.0,52,,
1,2014,Colombia,95.73,9.4,65.3,44465.0,53,116.622304,880.9349501
2,2014,Colombia,97.12,9.6,65.6,44612.0,53,116.622304,880.9349501
3,2014,Colombia,96.02,9.7,66.0,44759.0,53,116.622304,880.9349501
4,2014,Colombia,96.38,9.3,66.4,44793.0,53,116.622304,880.9349501
5,2014,Colombia,96.2,9,66.7,44827.0,53,116.622304,880.9349501
6,2014,Colombia,95.79,9.8,66.8,44862.0,53,116.622304,880.9349501
7,2014,Colombia,97.02,9.3,66.9,44896.0,53,134.964506,994.1557532
8,2014,Colombia,96.48,9.4,67.1,44930.0,53,134.964506,994.1557532
9,2014,Colombia,98.23,9.1,67.5,44965.0,53,134.964506,994.1557532
10,2014,Colombia,98.69,9.2,68.2,45000.0,53,134.964506,994.1557532
11,2014,Colombia,97.61,9.4,68.3,45036.0,53,134.964506,994.1557532
12,2014,Colombia,98.91,9.6,68.2,45071.0,53,134.964506,994.1557532
1,2015,Colombia,98.81,9,68.2,45107.0,56,148.310275,1092.614474
2,2015,Colombia,99.34,8.8,68.5,45143.0,56,148.310275,1092.614474
3,2015,Colombia,98.85,8.9,68.8,45178.0,56,148.310275,1092.614474
4,2015,Colombia,99.85,9.8,69.1,45214.0,56,148.310275,1092.614474
5,2015,Colombia,99.71,9.2,69.3,45251.0,56,148.310275,1092.614474
6,2015,Colombia,99.53,8.9,69.7,45289.0,56,148.310275,1092.614474
7,2015,Colombia,101.31,8.9,70.0,45326.0,56,165.577997,1159.527362
8,2015,Colombia,99.92,9.5,70.5,45364.0,56,165.577997,1159.527362
9,2015,Colombia,101.02,9.5,70.7,45402.0,56,165.577997,1159.527362
10,2015,Colombia,101.05,9.5,70.9,45443.0,56,165.577997,1159.527362
11,2015,Colombia,99.95,9,71.0,45484.0,56,165.577997,1159.527362
12,2015,Colombia,100.66,9.4,71.2,45524.0,56,165.577997,1159.527362
1,2016,Colombia,100.88,10,71.5,45566.0,58,166.679939,1193.235871
2,2016,Colombia,102.53,9,71.7,45608.0,58,166.679939,1193.235871
3,2016,Colombia,101.7,10.2,71.8,45650.0,58,166.679939,1193.235871
4,2016,Colombia,101.45,9.5,72.0,45693.0,58,166.679939,1193.235871
5,2016,Colombia,101.81,9.2,72.2,45735.0,58,166.679939,1193.235871
6,2016,Colombia,101.85,9.6,72.6,45779.0,58,166.679939,1193.235871
7,2016,Colombia,99.68,9.9,72.8,45821.0,58,186.763576,1121.298218
8,2016,Colombia,103.22,9.4,72.8,45864.0,58,186.763576,1121.298218
9,2016,Colombia,103.64,9.3,72.9,45907.0,58,186.763576,1121.298218
10,2016,Colombia,102.51,9.6,72.9,45952.0,58,186.763576,1121.298218
11,2016,Colombia,103.15,9.2,73.1,45997.0,58,186.763576,1121.298218
12,2016,Colombia,103.85,9.7,73.2,46042.0,58,186.763576,1121.298218
1,2017,Colombia,102.44,9.7,73.5,46089.0,62,190.511959,1245.808685
2,2017,Colombia,103.36,9.5,73.7,46136.0,62,190.511959,1245.808685
3,2017,Colombia,102.57,9.6,73.8,46183.0,62,190.511959,1245.808685
4,2017,Colombia,102.62,9.3,73.9,46232.0,62,190.511959,1245.808685
5,2017,Colombia,103.22,9.7,74.0,46281.0,62,190.511959,1245.808685
6,2017,Colombia,104.51,9.4,73.8,46333.0,62,190.511959,1245.808685
7,2017,Colombia,103.08,9.6,74.0,46385.0,62,207.060449,1309.980416
8,2017,Colombia,104.15,9.7,74.2,46438.0,62,207.060449,1309.980416
9,2017,Colombia,104.21,9.9,74.0,46494.0,62,207.060449,1309.980416
10,2017,Colombia,103.61,9.6,74.3,46553.0,62,207.060449,1309.980416
11,2017,Colombia,104.05,10.3,74.5,46614.0,62,207.060449,1309.980416
12,2017,Colombia,105.42,9.6,74.8,46677.0,62,207.060449,1309.980416
1,2018,Colombia,104.09,9.8,75.0,46742.0,64,183.459543,1340.925693
2,2018,Colombia,105.01,9.8,75.1,46810.0,64,183.459543,1340.925693
3,2018,Colombia,105.8,9.5,75.2,46878.0,64,183.459543,1340.925693
4,2018,Colombia,105.05,9.9,75.3,46950.0,64,183.459543,1340.925693
5,2018,Colombia,105.6,9.8,75.5,47023.0,64,183.459543,1340.925693
6,2018,Colombia,106.26,9.8,75.7,47103.0,64,183.459543,1340.925693
7,2018,Colombia,106.01,9.7,76.0,47182.0,64,195.701298,1420.591534
8,2018,Colombia,107.51,9.6,76.1,47266.0,64,195.701298,1420.591534
