year,month,country,IFI
2014,1,Chile,0.199849399
2014,2,Chile,0.189465359
2014,3,Chile,0.194281074
2014,4,Chile,0.200893514
2014,5,Chile,0.19618316
2014,6,Chile,0.191501797
2014,7,Chile,0.202504001
2014,8,Chile,0.201393224
2014,9,Chile,0.198750301
2014,10,Chile,0.196029824
2014,11,Chile,0.220854418
2014,12,Chile,0.224020756
2015,1,Chile,0.281574902
2015,2,Chile,0.208668354
2015,3,Chile,0.235705289
2015,4,Chile,0.230631867
2015,5,Chile,0.225506812
2015,6,Chile,0.241112477
2015,7,Chile,0.243193214
2015,8,Chile,0.25378254
2015,9,Chile,0.254376859
2015,10,Chile,0.253777927
2015,11,Chile,0.249709705
2015,12,Chile,0.256971449
2016,1,Chile,0.249876108
2016,2,Chile,0.252006653
2016,3,Chile,0.258755724
2016,4,Chile,0.26028885
2016,5,Chile,0.266647659
2016,6,Chile,0.275294385
2016,7,Chile,0.28055849
2016,8,Chile,0.285420567
2016,9,Chile,0.26950313
2016,10,Chile,0.262804844
2016,11,Chile,0.271362876
2016,12,Chile,0.280630841
2017,1,Chile,0.266505505
2017,2,Chile,0.253299337
2017,3,Chile,0.274673634
2017,4,Chile,0.256115444
2017,5,Chile,0.254699966
2017,6,Chile,0.251252178
2017,7,Chile,0.242878023
2017,8,Chile,0.242076758
2017,9,Chile,0.241719213
2017,10,Chile,0.245243867
2017,11,Chile,0.244879016
2017,12,Chile,0.261133259
2018,1,Chile,0.259991988
2018,2,Chile,0.24315523
2018,3,Chile,0.256108069
2018,4,Chile,0.25394875
2018,5,Chile,0.270760606
2018,6,Chile,0.276961664
2018,7,Chile,0.255737186
2018,8,Chile,0.263946749
2018,9,Chile,0.258007239
2018,10,Chile,0.271498679
2018,11,Chile,0.262245365
2018,12,Chile,0.270341346
2019,1,Chile,0.255207596
2019,2,Chile,0.251932648
2019,3,Chile,0.271845044
2019,4,Chile,0.268545656
2019,5,Chile,0.271771703
2019,6,Chile,0.270454624
2019,7,Chile,0.290226822
2019,8,Chile,0.274280081
2019,9,Chile,0.286245369
2019,10,Chile,0.295085152
2019,11,Chile,0.284219351
2019,12,Chile,0.281374949
2020,1,Chile,0.284760306
2020,2,Chile,0.272427418
2020,3,Chile,0.316616352
2020,4,Chile,0.355620472
2020,5,Chile,0.356477169
2020,6,Chile,0.357919246
2020,7,Chile,0.363665077
2020,8,Chile,0.363207565
2020,9,Chile,0.35394061
2020,10,Chile,0.359481492
2020,11,Chile,0.358132669
2020,12,Chile,0.348386102
2021,1,Chile,0.334278426
2021,2,Chile,0.335781629
2021,3,Chile,0.35627247
2021,4,Chile,0.351277463
2021,5,Chile,0.341141472
2021,6,Chile,0.344121716
2021,7,Chile,0.340821062
2021,8,Chile,0.322892772
2021,9,Chile,0.33380592
2021,10,Chile,0.342984423
2021,11,Chile,0.329920224
2021,12,Chile,0.342945431
2022,1,Chile,0.340991654
2022,2,Chile,0.330106246
2022,3,Chile,0.369189514
2022,4,Chile,0.365717102
2022,5,Chile,0.364141964
2022,6,Chile,0.37552785
2022,7,Chile,0.387380493
2022,8,Chile,0.383112508
2022,9,Chile,0.387893909
2022,10,Chile,0.383096384
2022,11,Chile,0.384011702
2022,12,Chile,0.400830043
2023,1,Chile,0.384112005
2023,2,Chile,0.376415115
2023,3,Chile,0.406914912
2023,4,Chile,0.407075623
2023,5,Chile,0.407092827
