country,year,month,fraud_cases,economy_index_2015,unemployment_rate,inflation_index,total_pop_thousands,conexiones_moviles,numero_transacciones_digitales_millions,monto_transacciones_millions,FRISK,ln_FRISK,std_ln_FRISK
Colombia,2013,12,0.0,95.5,9.2,65.1,44318.0,52.0,,,0.0,0.0,-1.2969680001472967
Colombia,2014,1,6.0,95.73,9.4,65.3,44465.0,53.0,116.622304,880.9349501,0.013493759136399415,0.0134035291567698,-1.0445754525306084
Colombia,2014,2,0.0,97.12,9.6,65.6,44612.0,53.0,116.622304,880.9349501,0.0,0.0,-1.2969680001472967
Colombia,2014,3,11.0,96.02,9.7,66.0,44759.0,53.0,116.622304,880.9349501,0.024576062914721062,0.024278929879107018,-0.8397883354543053
Colombia,2014,4,9.0,96.38,9.3,66.4,44793.0,53.0,116.622304,880.9349501,0.020092425155716295,0.01989323608884004,-0.9223722889672571
Colombia,2014,5,35.0,96.2,9.0,66.7,44827.0,53.0,116.622304,880.9349501,0.07807794409619202,0.07517977422936481,0.1186901093747841
Colombia,2014,6,7.0,95.79,9.8,66.8,44862.0,53.0,116.622304,880.9349501,0.015603406000624136,0.015482924525929379,-1.0054198026576455
Colombia,2014,7,6.0,97.02,9.3,66.9,44896.0,53.0,134.964506,994.1557532,0.013364219529579472,0.0132757060844482,-1.046982400021087
Colombia,2014,8,4.0,96.48,9.4,67.1,44930.0,53.0,134.964506,994.1557532,0.00890273759180948,0.008863341870689203,-1.130068565753853
Colombia,2014,9,6.0,98.23,9.1,67.5,44965.0,53.0,134.964506,994.1557532,0.013343711775825643,0.013255468581611439,-1.0473634783802734
Colombia,2014,10,4.0,98.69,9.2,68.2,45000.0,53.0,134.964506,994.1557532,0.008888888888888889,0.0088496152769826,-1.1303270417056106
Colombia,2014,11,1.0,97.61,9.4,68.3,45036.0,53.0,134.964506,994.1557532,0.0022204458655297986,0.0022179843187563036,-1.2552026780267396
Colombia,2014,12,5.0,98.91,9.6,68.2,45071.0,53.0,134.964506,994.1557532,0.011093607863149254,0.01103252513217179,-1.0892221824461743
Colombia,2015,1,51.0,98.81,9.0,68.2,45107.0,56.0,148.310275,1092.614474,0.11306449109894251,0.10711701409987238,0.7200780901433713
Colombia,2015,2,2.0,99.34,8.8,68.5,45143.0,56.0,148.310275,1092.614474,0.004430365726690738,0.004420580547092277,-1.2137271183485003
Colombia,2015,3,13.0,98.85,8.9,68.8,45178.0,56.0,148.310275,1092.614474,0.028775067510735313,0.02836883967289042,-0.7627740849310343
Colombia,2015,4,2.0,99.85,9.8,69.1,45214.0,56.0,148.310275,1092.614474,0.004423408678727828,0.004413654161457348,-1.2138575443054054
Colombia,2015,5,3.0,99.71,9.2,69.3,45251.0,56.0,148.310275,1092.614474,0.006629687741707365,0.006607808012540991,-1.1725409571692285
Colombia,2015,6,5.0,99.53,8.9,69.7,45289.0,56.0,148.310275,1092.614474,0.011040208439135332,0.010979710206081485,-1.0902167036347514
Colombia,2015,7,8.0,101.31,8.9,70.0,45326.0,56.0,165.577997,1159.527362,0.017649913956669462,0.017495963065742196,-0.9675136721474344
Colombia,2015,8,8.0,99.92,9.5,70.5,45364.0,56.0,165.577997,1159.527362,0.017635129177321223,0.01748143460507425,-0.9677872474989737
Colombia,2015,9,3.0,101.02,9.5,70.7,45402.0,56.0,165.577997,1159.527362,0.006607638430025109,0.006585903678266533,-1.1729534224734566
Colombia,2015,10,6.0,101.05,9.5,70.9,45443.0,56.0,165.577997,1159.527362,0.013203353651827563,0.01311694910025602,-1.0499718425196671
Colombia,2015,11,15.0,99.95,9.0,71.0,45484.0,56.0,165.577997,1159.527362,0.032978629847858584,0.03244650245774185,-0.6859904493263321
Colombia,2015,12,12.0,100.66,9.4,71.2,45524.0,56.0,165.577997,1159.527362,0.026359722344257975,0.02601829187380634,-0.807035617872602
Colombia,2016,1,5.0,100.88,10.0,71.5,45566.0,58.0,166.679939,1193.235871,0.01097309397357679,0.010913326403855289,-1.091466730905061
Colombia,2016,2,4.0,102.53,9.0,71.7,45608.0,58.0,166.679939,1193.235871,0.00877039115944571,0.008732154682172278,-1.1325388605797297
Colombia,2016,3,14.0,101.7,10.2,71.8,45650.0,58.0,166.679939,1193.235871,0.03066812705366922,0.030207258990411223,-0.7281560877073364
Colombia,2016,4,16.0,101.45,9.5,72.0,45693.0,58.0,166.679939,1193.235871,0.03501630446676734,0.03441717970124121,-0.6488819949633393
Colombia,2016,5,4.0,101.81,9.2,72.2,45735.0,58.0,166.679939,1193.235871,0.008746036952006122,0.00870801192219128,-1.1329934761236535
Colombia,2016,6,2.0,101.85,9.6,72.6,45779.0,58.0,166.679939,1193.235871,0.004368815395705454,0.004359299826169278,-1.21488105303933
Colombia,2016,7,22.0,99.68,9.9,72.8,45821.0,58.0,186.763576,1121.298218,0.04801291984024792,0.04689591391469973,-0.4139036185724044
Colombia,2016,8,15.0,103.22,9.4,72.8,45864.0,58.0,186.763576,1121.298218,0.03270538984824699,0.032181950862628775,-0.6909720366594655
Colombia,2016,9,18.0,103.64,9.3,72.9,45907.0,58.0,186.763576,1121.298218,0.03920970658069575,0.03846052676625063,-0.5727445348436849
Colombia,2016,10,21.0,102.51,9.6,72.9,45952.0,58.0,186.763576,1121.298218,0.04569986072423398,0.044686384433369745,-0.4555097335220174
Colombia,2016,11,7.0,103.15,9.2,73.1,45997.0,58.0,186.763576,1121.298218,0.015218383807639629,0.015103745811647546,-1.0125598536531906
Colombia,2016,12,16.0,103.85,9.7,73.2,46042.0,58.0,186.763576,1121.298218,0.034750879631640676,0.03416070173732258,-0.6537115533552997
Colombia,2017,1,7.0,102.44,9.7,73.5,46089.0,62.0,190.511959,1245.808685,0.015188005814836512,0.015073822745053032,-1.01312331413602
Colombia,2017,2,13.0,103.36,9.5,73.7,46136.0,62.0,190.511959,1245.808685,0.02817756199063638,0.027787877789437258,-0.7737137746290176
Colombia,2017,3,5.0,102.57,9.6,73.8,46183.0,62.0,190.511959,1245.808685,0.010826494597579195,0.010768307701622563,-1.0941974773585126
Colombia,2017,4,8.0,102.62,9.3,73.9,46232.0,62.0,190.511959,1245.808685,0.017304031839418584,0.017156022084477023,-0.9739148646466128
Colombia,2017,5,17.0,103.22,9.7,74.0,46281.0,62.0,190.511959,1245.808685,0.036732136297832806,0.03607358951395182,-0.617691292303051
Colombia,2017,6,4.0,104.51,9.4,73.8,46333.0,62.0,190.511959,1245.808685,0.008633155634213196,0.008596103047225682,-1.1351007544175362
Colombia,2017,7,7.0,103.08,9.6,74.0,46385.0,62.0,207.060449,1309.980416,0.0150910854802199,0.014978347856791821,-1.0149211354411272
Colombia,2017,8,16.0,104.15,9.7,74.2,46438.0,62.0,207.060449,1309.980416,0.034454541539256645,0.033874274791618725,-0.6591050602210456
Colombia,2017,9,7.0,104.21,9.9,74.0,46494.0,62.0,207.060449,1309.980416,0.015055706112616682,0.014943493857314116,-1.0155774468961118
Colombia,2017,10,12.0,103.61,9.6,74.3,46553.0,62.0,207.060449,1309.980416,0.025777071295083023,0.025450443700490395,-0.817728372403621
Colombia,2017,11,23.0,104.05,10.3,74.5,46614.0,62.0,207.060449,1309.980416,0.04934139957952546,0.04816272887738034,-0.39004910592500897
Colombia,2017,12,6.0,105.42,9.6,74.8,46677.0,62.0,207.060449,1309.980416,0.012854296548621377,0.012772381307108473,-1.056460159299673
Colombia,2018,1,21.0,104.09,9.8,75.0,46742.0,64.0,183.459543,1340.925693,0.04492747422018741,0.04394748034819062,-0.46942352311589797
Colombia,2018,2,17.0,105.01,9.8,75.1,46810.0,64.0,183.459543,1340.925693,0.03631702627643666,0.03567310694514604,-0.6252325013857286
Colombia,2018,3,32.0,105.8,9.5,75.2,46878.0,64.0,183.459543,1340.925693,0.06826229787960238,0.06603330764947703,-0.053540649762469424
Colombia,2018,4,15.0,105.05,9.9,75.3,46950.0,64.0,183.459543,1340.925693,0.03194888178913738,0.031449132682503295,-0.7047712268024792
Colombia,2018,5,99.0,105.6,9.8,75.5,47023.0,64.0,183.459543,1340.925693,0.2105352699742679,0.19106263367061688,2.300799744635416
Colombia,2018,6,41.0,106.26,9.8,75.7,47103.0,64.0,183.459543,1340.925693,0.08704328811328366,0.08346143081742112,0.2746362322427556
Colombia,2018,7,20.0,106.01,9.7,76.0,47182.0,64.0,195.701298,1420.591534,0.04238904667034039,0.04151523897430836,-0.5152233710210895
Colombia,2018,8,34.0,107.51,9.6,76.1,47266.0,64.0,195.701298,1420.591534,0.07193331358693353,0.06946385323876962,0.011057571412692757
